Time(ms),Waypoint_id,Waypoint_lat,Waypoint_lon,Distance_to_wp(meters),Bearing(degrees),Current_lat,Current_lon,Heading(degrees),FL,FR,DL,DR
51163,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794937,135.00,1900,1408,1500,1500
52091,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794937,151.00,1900,1486,1500,1500
52169,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794784,152.00,1900,1489,1500,1500
53084,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794784,168.00,1831,1569,1500,1500
53159,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794784,169.00,1827,1573,1500,1500
54085,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794784,185.00,1747,1653,1500,1500
54160,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086235,-121.8794784,186.00,1742,1658,1500,1500
55092,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086235,-121.8794784,196.00,1692,1708,1500,1500
55170,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794784,197.00,1687,1713,1500,1500
56087,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794784,201.00,1666,1734,1500,1500
56163,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086082,-121.8794784,201.00,1665,1735,1500,1500
57081,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086082,-121.8794784,197.00,1684,1716,1500,1500
57158,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6086006,-121.8794784,196.00,1689,1711,1500,1500
58081,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6086006,-121.8794784,195.00,1693,1707,1500,1500
58156,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085968,-121.8794784,195.00,1693,1707,1500,1500
59079,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085968,-121.8794784,192.00,1706,1694,1500,1500
59156,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085929,-121.8794784,192.00,1706,1694,1500,1500
60088,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085929,-121.8794784,192.00,1705,1695,1500,1500
60164,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085853,-121.8794784,192.00,1705,1695,1500,1500
61081,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085853,-121.8794784,192.00,1705,1695,1500,1500
61159,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085815,-121.8794784,192.00,1704,1696,1500,1500
62086,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085815,-121.8794784,190.00,1714,1686,1500,1500
62163,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085739,-121.8794784,190.00,1714,1686,1500,1500
63082,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085739,-121.8794784,191.00,1708,1692,1500,1500
63159,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085700,-121.8794784,191.00,1708,1692,1500,1500
64082,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085700,-121.8794784,190.00,1713,1687,1500,1500
64159,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085624,-121.8794937,190.00,1712,1688,1500,1500
65076,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085624,-121.8794937,189.00,1717,1683,1500,1500
65153,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085586,-121.8794937,189.00,1717,1683,1500,1500
66076,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085586,-121.8794937,191.00,1706,1694,1500,1500
66151,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085548,-121.8794937,191.00,1706,1694,1500,1500
67078,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085548,-121.8794937,193.00,1697,1703,1500,1500
