Time(ms),Waypoint_id,Waypoint_lat,Waypoint_lon,Distance_to_wp(meters),Bearing(degrees),Current_lat,Current_lon,Heading(degrees),FL,FR,DL,DR
87656,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084632,-121.8796081,150.00,1900,1420,1500,1500
88580,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084632,-121.8796081,152.00,1900,1429,1500,1500
88655,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084709,-121.8796234,153.00,1900,1432,1500,1500
89585,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084709,-121.8796234,158.00,1900,1456,1500,1500
89660,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084747,-121.8796234,159.00,1900,1459,1500,1500
90579,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084747,-121.8796234,158.00,1900,1453,1500,1500
90657,1,-99.0000000,-99.0000000,14989636.00,184.00,36.6084785,-121.8796234,157.00,1900,1447,1500,1500
91578,1,-99.0000000,-99.0000000,14989636.00,184.00,36.6084785,-121.8796234,158.00,1900,1451,1500,1500
91654,1,-99.0000000,-99.0000000,14989636.00,184.00,36.6084823,-121.8796234,158.00,1900,1449,1500,1500
92583,1,-99.0000000,-99.0000000,14989636.00,184.00,36.6084823,-121.8796234,163.00,1900,1473,1500,1500
92660,1,-99.0000000,-99.0000000,14989636.00,184.00,36.6084861,-121.8796386,163.00,1900,1472,1500,1500
93581,1,-99.0000000,-99.0000000,14989636.00,184.00,36.6084861,-121.8796386,160.00,1900,1456,1500,1500
93658,1,-99.0000000,-99.0000000,14989636.00,184.00,36.6084938,-121.8796386,161.00,1900,1460,1500,1500
94581,1,-99.0000000,-99.0000000,14989636.00,184.00,36.6084938,-121.8796386,166.00,1900,1484,1500,1500
94659,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6084976,-121.8796386,166.00,1900,1483,1500,1500
95582,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6084976,-121.8796386,169.00,1900,1497,1500,1500
95660,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6085014,-121.8796386,169.00,1900,1496,1500,1500
96575,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6085014,-121.8796386,168.00,1900,1491,1500,1500
96652,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6085052,-121.8796539,168.00,1900,1490,1500,1500
97573,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6085052,-121.8796539,168.00,1900,1489,1500,1500
97648,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085090,-121.8796539,168.00,1900,1488,1500,1500
98580,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085090,-121.8796539,170.00,1900,1498,1500,1500
98657,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085128,-121.8796539,170.00,1900,1497,1500,1500
99576,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085128,-121.8796539,173.00,1889,1511,1500,1500
99652,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085166,-121.8796539,173.00,1889,1511,1500,1500
100575,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085166,-121.8796539,174.00,1885,1515,1500,1500
100651,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085166,-121.8796539,174.00,1885,1515,1500,1500
101577,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085166,-121.8796539,185.00,1830,1570,1500,1500
101653,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085205,-121.8796539,186.00,1825,1575,1500,1500
102571,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085205,-121.8796539,196.00,1774,1626,1500,1500
102647,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085243,-121.8796539,197.00,1769,1631,1500,1500
103568,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085243,-121.8796539,201.00,1748,1652,1500,1500
103644,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085243,-121.8796691,201.00,1747,1653,1500,1500
104572,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085243,-121.8796691,199.00,1756,1644,1500,1500
104647,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085243,-121.8796691,199.00,1756,1644,1500,1500
105567,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085243,-121.8796691,197.00,1765,1635,1500,1500
