Orientation, FL, FR, DL, DR
75.44,1500,1500,1653,1653
78.75,1500,1500,1651,1651
81.62,1500,1500,1649,1649
84.44,1500,1500,1646,1646
87.25,1500,1500,1644,1644
89.62,1500,1500,1641,1641
91.69,1500,1500,1639,1639
93.56,1500,1500,1637,1637
94.69,1500,1500,1635,1635
95.62,1500,1500,1634,1634
95.94,1500,1500,1633,1633
95.62,1500,1500,1633,1633
94.69,1500,1500,1633,1633
93.19,1500,1500,1635,1635
91.00,1500,1500,1637,1637
87.87,1500,1500,1640,1640
84.56,1500,1500,1644,1644
80.75,1500,1500,1648,1648
77.50,1500,1500,1653,1653
74.75,1500,1500,1657,1657
72.81,1500,1500,1661,1661
71.81,1500,1500,1664,1664
71.81,1500,1500,1666,1666
72.62,1500,1500,1666,1666
74.12,1500,1500,1667,1667
76.19,1500,1500,1666,1666
78.37,1500,1500,1665,1665
80.69,1500,1500,1663,1663
83.31,1500,1500,1661,1661
85.75,1500,1500,1659,1659
88.37,1500,1500,1657,1657
90.62,1500,1500,1655,1655
92.81,1500,1500,1652,1652
95.06,1500,1500,1649,1649
96.94,1500,1500,1647,1647
98.81,1500,1500,1644,1644
100.25,1500,1500,1642,1642
101.56,1500,1500,1639,1639
102.56,1500,1500,1637,1637
103.19,1500,1500,1635,1635
103.37,1500,1500,1634,1634
102.94,1500,1500,1633,1633
101.87,1500,1500,1633,1633
100.06,1500,1500,1634,1634
96.94,1500,1500,1636,1636
93.00,1500,1500,1640,1640
87.69,1500,1500,1645,1645
82.50,1500,1500,1651,1651
77.31,1500,1500,1657,1657
73.62,1500,1500,1663,1663
71.25,1500,1500,1667,1667
70.25,1500,1500,1670,1670
70.75,1500,1500,1671,1671
72.37,1500,1500,1671,1671
75.06,1500,1500,1670,1670
78.06,1500,1500,1668,1668
81.31,1500,1500,1666,1666
85.00,1500,1500,1663,1663
88.31,1500,1500,1660,1660
91.87,1500,1500,1656,1656
95.12,1500,1500,1652,1652
98.50,1500,1500,1648,1648
101.44,1500,1500,1644,1644
104.19,1500,1500,1640,1640
106.75,1500,1500,1636,1636
109.06,1500,1500,1631,1631
111.12,1500,1500,1627,1627
113.06,1500,1500,1623,1623
114.44,1500,1500,1619,1619
115.44,1500,1500,1616,1616
115.94,1500,1500,1613,1613
115.81,1500,1500,1610,1610
114.87,1500,1500,1608,1608
113.00,1500,1500,1608,1608
109.94,1500,1500,1609,1609
104.87,1500,1500,1613,1613
98.56,1500,1500,1619,1619
90.87,1500,1500,1626,1626
