Orientation, FL, FR, DL, DR
103.31,1500,1500,1670,1670
98.00,1500,1500,1674,1674
90.19,1500,1500,1682,1682
82.12,1500,1500,1691,1691
74.62,1500,1500,1700,1700
68.37,1500,1500,1708,1708
65.00,1500,1500,1714,1714
64.12,1500,1500,1718,1718
63.69,1500,1500,1720,1720
63.50,1500,1500,1723,1723
65.56,1500,1500,1724,1724
68.94,1500,1500,1722,1722
72.75,1500,1500,1720,1720
77.06,1500,1500,1717,1717
81.06,1500,1500,1714,1714
85.44,1500,1500,1711,1711
89.06,1500,1500,1707,1707
92.44,1500,1500,1703,1703
95.94,1500,1500,1699,1699
98.69,1500,1500,1695,1695
101.25,1500,1500,1692,1692
103.56,1500,1500,1688,1688
105.25,1500,1500,1685,1685
106.69,1500,1500,1682,1682
107.75,1500,1500,1679,1679
108.00,1500,1500,1677,1677
107.44,1500,1500,1676,1676
105.75,1500,1500,1676,1676
102.62,1500,1500,1678,1678
97.06,1500,1500,1683,1683
90.00,1500,1500,1690,1690
81.50,1500,1500,1700,1700
72.06,1500,1500,1711,1711
65.06,1500,1500,1720,1720
60.63,1500,1500,1727,1727
58.94,1500,1500,1732,1732
59.50,1500,1500,1734,1734
62.00,1500,1500,1735,1735
65.37,1500,1500,1734,1734
69.87,1500,1500,1731,1731
74.37,1500,1500,1728,1728
76.06,1500,1500,1729,1729
76.12,1500,1500,1729,1729
75.94,1500,1500,1731,1731
76.56,1500,1500,1732,1732
76.31,1500,1500,1733,1733
76.19,1500,1500,1735,1735
76.31,1500,1500,1736,1736
77.19,1500,1500,1737,1737
77.81,1500,1500,1737,1737
77.31,1500,1500,1739,1739
78.06,1500,1500,1739,1739
79.56,1500,1500,1739,1739
80.44,1500,1500,1739,1739
81.37,1500,1500,1739,1739
82.94,1500,1500,1738,1738
84.87,1500,1500,1737,1737
86.69,1500,1500,1735,1735
88.56,1500,1500,1733,1733
90.94,1500,1500,1731,1731
93.81,1500,1500,1728,1728
96.69,1500,1500,1724,1724
99.75,1500,1500,1720,1720
103.12,1500,1500,1715,1715
106.50,1500,1500,1710,1710
110.25,1500,1500,1705,1705
113.62,1500,1500,1699,1699
117.19,1500,1500,1693,1693
120.37,1500,1500,1686,1686
123.31,1500,1500,1680,1680
126.25,1500,1500,1674,1674
128.69,1500,1500,1667,1667
130.88,1500,1500,1661,1661
132.75,1500,1500,1655,1655
134.00,1500,1500,1649,1649
134.63,1500,1500,1644,1644
134.31,1500,1500,1640,1640
132.63,1500,1500,1638,1638
128.38,1500,1500,1638,1638
120.62,1500,1500,1643,1643
105.37,1500,1500,1655,1655
84.69,1500,1500,1679,1679
64.12,1500,1500,1702,1702
49.63,1500,1500,1719,1719
44.13,1500,1500,1729,1729
43.81,1500,1500,1734,1734
47.56,1500,1500,1735,1735
53.31,1500,1500,1732,1732
61.06,1500,1500,1728,1728
68.44,1500,1500,1722,1722
75.50,1500,1500,1717,1717
82.69,1500,1500,1710,1710
88.56,1500,1500,1704,1704
94.37,1500,1500,1699,1699
98.87,1500,1500,1693,1693
102.62,1500,1500,1688,1688
105.69,1500,1500,1683,1683
107.00,1500,1500,1680,1680
106.87,1500,1500,1679,1679
104.44,1500,1500,1680,1680
99.75,1500,1500,1684,1684
92.25,1500,1500,1691,1691
80.94,1500,1500,1704,1704
69.62,1500,1500,1717,1717
59.06,1500,1500,1731,1731
52.94,1500,1500,1740,1740
49.88,1500,1500,1747,1747
50.00,1500,1500,1751,1751
52.19,1500,1500,1752,1752
56.25,1500,1500,1752,1752
60.88,1500,1500,1750,1750
66.06,1500,1500,1747,1747
72.06,1500,1500,1743,1743
77.50,1500,1500,1739,1739
83.44,1500,1500,1734,1734
88.44,1500,1500,1729,1729
93.50,1500,1500,1723,1723
98.94,1500,1500,1717,1717
103.56,1500,1500,1711,1711
108.56,1500,1500,1705,1705
112.81,1500,1500,1698,1698
116.87,1500,1500,1691,1691
120.94,1500,1500,1684,1684
124.12,1500,1500,1677,1677
126.87,1500,1500,1671,1671
129.13,1500,1500,1665,1665
130.81,1500,1500,1659,1659
131.94,1500,1500,1654,1654
132.50,1500,1500,1649,1649
132.25,1500,1500,1645,1645
130.88,1500,1500,1642,1642
128.13,1500,1500,1641,1641
122.62,1500,1500,1643,1643
114.19,1500,1500,1650,1650
101.44,1500,1500,1661,1661
83.69,1500,1500,1678,1678
67.87,1500,1500,1698,1698
56.81,1500,1500,1712,1712
49.44,1500,1500,1723,1723
46.63,1500,1500,1730,1730
46.50,1500,1500,1735,1735
48.00,1500,1500,1737,1737
50.56,1500,1500,1738,1738
54.06,1500,1500,1738,1738
57.50,1500,1500,1738,1738
61.31,1500,1500,1737,1737
64.62,1500,1500,1737,1737
67.81,1500,1500,1736,1736
71.25,1500,1500,1734,1734
74.25,1500,1500,1733,1733
77.12,1500,1500,1731,1731
79.94,1500,1500,1729,1729
82.37,1500,1500,1728,1728
84.69,1500,1500,1726,1726
87.12,1500,1500,1724,1724
89.00,1500,1500,1722,1722
91.00,1500,1500,1720,1720
92.50,1500,1500,1718,1718
93.50,1500,1500,1717,1717
93.87,1500,1500,1716,1716
93.31,1500,1500,1716,1716
91.94,1500,1500,1718,1718
89.44,1500,1500,1720,1720
86.44,1500,1500,1724,1724
83.19,1500,1500,1728,1728
79.81,1500,1500,1732,1732
77.31,1500,1500,1736,1736
75.69,1500,1500,1739,1739
75.31,1500,1500,1740,1740
76.00,1500,1500,1741,1741
77.62,1500,1500,1741,1741
79.94,1500,1500,1739,1739
82.25,1500,1500,1738,1738
